09:44:33.084 -> Система готова. Формат вывода: mq7,mq135,temp,hum,ky028_analog,ky028_digital
09:44:38.619 -> 600,691,25.0,56.0,505,1
09:44:43.610 -> 437,578,25.0,56.0,424,1
09:44:48.602 -> 309,451,25.0,56.0,354,1
09:44:53.595 -> 255,351,25.0,56.0,300,1
09:44:58.615 -> 227,290,25.0,56.0,256,1
09:45:03.619 -> 219,262,25.0,55.0,250,1
09:45:08.603 -> 209,241,25.0,56.0,240,1
09:45:13.615 -> 202,222,25.0,56.0,218,1
09:45:18.622 -> 196,212,25.0,56.0,221,1
09:45:23.626 -> 185,199,25.0,56.0,216,1
09:45:28.639 -> 186,190,25.0,56.0,197,1
09:45:33.646 -> 190,184,25.0,56.0,205,1
09:45:38.610 -> 185,183,25.0,56.0,205,1
09:45:43.614 -> 175,173,25.0,56.0,190,1
09:45:48.653 -> 175,171,25.0,56.0,196,1
09:45:53.637 -> 173,168,25.0,56.0,199,1
09:45:58.629 -> 171,165,25.0,56.0,187,1
09:46:03.641 -> 170,162,25.0,56.0,185,1
09:46:08.665 -> 168,159,25.0,56.0,191,1
09:46:13.662 -> 166,156,25.0,56.0,190,1
09:46:18.665 -> 165,154,25.0,56.0,180,1
09:46:23.669 -> 164,151,25.0,56.0,178,1
09:46:28.653 -> 163,149,25.0,56.0,184,1
09:46:33.646 -> 163,146,25.0,56.0,188,1
09:46:38.649 -> 162,145,25.0,56.0,176,1
09:46:43.681 -> 160,142,25.0,56.0,165,1
09:46:48.665 -> 160,143,25.0,55.0,181,1
09:46:53.669 -> 161,145,25.0,56.0,193,1
09:46:58.670 -> 161,140,25.0,56.0,162,1
09:47:03.674 -> 160,138,25.0,56.0,167,1
09:47:08.696 -> 158,136,25.0,56.0,190,1
09:47:13.676 -> 158,137,25.0,56.0,176,1
09:47:18.700 -> 157,136,25.0,56.0,159,1
09:47:23.700 -> 157,134,25.0,56.0,176,1
09:47:28.693 -> 156,133,25.0,56.0,187,1
09:47:33.680 -> 156,130,25.0,56.0,160,1
09:47:38.702 -> 155,129,25.0,56.0,158,1
09:47:43.708 -> 155,129,25.0,56.0,181,1
09:47:48.698 -> 154,128,25.0,56.0,172,1
09:47:53.688 -> 154,127,25.0,56.0,153,1
09:47:58.711 -> 153,126,25.0,56.0,173,1
09:48:03.696 -> 152,125,25.0,56.0,179,1
09:48:08.700 -> 152,126,25.0,56.0,154,1
09:48:13.720 -> 153,125,25.0,56.0,164,1
09:48:18.714 -> 152,124,25.0,56.0,173,1
09:48:23.719 -> 152,123,25.0,56.0,159,1
09:48:28.703 -> 152,123,25.0,56.0,169,1
09:48:33.740 -> 151,122,25.0,56.0,169,1
09:48:38.744 -> 151,123,26.0,56.0,149,1
09:48:43.723 -> 150,123,25.0,56.0,174,1
09:48:48.736 -> 150,122,25.0,56.0,158,1
09:48:53.728 -> 149,120,26.0,56.0,165,1
09:48:58.751 -> 148,119,26.0,56.0,165,1
09:49:03.731 -> 149,119,25.0,56.0,150,1
09:49:08.743 -> 148,118,26.0,56.0,171,1
09:49:13.735 -> 148,123,26.0,56.0,146,1
