iter	MultiClass
0	1.465839785
1	1.351802493
2	1.254772075
3	1.173688917
4	1.10338696
5	1.040502569
6	0.9846972292
7	0.934803421
8	0.8889437482
9	0.8493328097
10	0.8122537934
11	0.7785507961
12	0.7462345764
13	0.7177630089
14	0.6853060867
15	0.659608009
16	0.6317136532
17	0.6094685615
18	0.5889903842
19	0.5687774166
20	0.5507815935
21	0.5325503468
22	0.5137466305
23	0.4959458987
24	0.4819097654
25	0.4669696405
26	0.4544571681
27	0.4424307625
28	0.4290765566
29	0.418397078
30	0.4058612544
31	0.3961701693
32	0.3849063466
33	0.3746702909
34	0.3663507918
35	0.3577286613
36	0.3505134839
37	0.3437615009
38	0.3362673942
39	0.3286606087
40	0.3226169941
41	0.316739036
42	0.311297843
43	0.3056094588
44	0.2993959043
45	0.2944095382
46	0.2900053993
47	0.2853269462
48	0.2808539352
49	0.2755599444
50	0.2716203333
51	0.2671504816
52	0.2633717993
53	0.2599677715
54	0.2564667911
55	0.2532525172
56	0.2499025476
57	0.2465019586
58	0.243876558
59	0.2411755892
60	0.2386467091
61	0.2363065465
62	0.234342353
63	0.232028788
64	0.2293160954
65	0.226782707
66	0.2248323668
67	0.2228623011
68	0.2209715553
69	0.2185685934
70	0.2168760595
71	0.2155824826
72	0.2137866781
73	0.2124518318
74	0.2111254219
75	0.2089181423
76	0.2070301911
77	0.2056209417
78	0.2044131621
79	0.2031308928
80	0.2012555447
81	0.2002025187
82	0.1991811266
83	0.1982437048
84	0.1973226731
85	0.1963130528
86	0.1952849572
87	0.1944472362
88	0.1936639863
89	0.1928103387
90	0.1920331339
91	0.1913214306
92	0.1902895531
93	0.1896339241
94	0.1888601476
95	0.1880871554
96	0.1874887021
97	0.1869789147
98	0.186327756
99	0.1857826741
100	0.1851506461
101	0.1840414816
102	0.1833540884
103	0.1828528644
104	0.1822219946
105	0.1816226421
106	0.181126089
107	0.1807006005
108	0.1801714605
109	0.1798479708
110	0.1795163079
111	0.1783724468
112	0.1773518726
113	0.1770900596
114	0.1767000978
115	0.1763740506
116	0.1760515912
117	0.1756459983
118	0.1748839375
119	0.17464472
120	0.1742985696
121	0.1733891564
122	0.1729359954
123	0.1722296191
124	0.1718229034
125	0.1714111977
126	0.1711813154
127	0.170874559
128	0.1705779014
129	0.1703620393
130	0.1696004919
131	0.1694457451
132	0.1688760103
133	0.1685988621
134	0.1679061138
135	0.1675640596
136	0.1673216386
137	0.1670475884
138	0.1667869243
139	0.1665679223
140	0.1663206486
141	0.1661800188
142	0.1658720978
143	0.1657354293
144	0.1652646855
145	0.1648004068
146	0.1646658203
147	0.1645473847
148	0.1644006468
149	0.1640745722
150	0.1638482245
151	0.163571778
152	0.163054384
153	0.1629073682
154	0.1627218434
155	0.1625900668
156	0.1624488505
157	0.1622320118
158	0.1621270788
159	0.1619621323
160	0.1618131583
161	0.1614258225
162	0.1612507717
163	0.1610900615
164	0.1608771622
165	0.1607589051
166	0.1605783252
167	0.1604199503
168	0.1601715975
169	0.1598868222
170	0.1594480473
171	0.1593646925
172	0.1592203021
173	0.159078078
174	0.1589776195
175	0.1588209011
176	0.1586752364
177	0.1585369755
178	0.1584344965
179	0.1583279827
180	0.1582521842
181	0.1581546434
182	0.1580303476
183	0.1579282997
184	0.1577453988
185	0.1575604604
186	0.157341887
187	0.1572218592
188	0.1570619348
189	0.1569268646
190	0.1567404776
191	0.1565729453
192	0.1565104761
193	0.1563674737
194	0.156295029
195	0.1561554762
196	0.1561153708
197	0.1560288809
198	0.1559554594
199	0.1558977341
200	0.1557925349
201	0.1555443169
202	0.1554408889
203	0.1553379965
204	0.1552429685
205	0.1550802448
206	0.1549198524
207	0.1548235034
208	0.1547349274
209	0.1546844251
210	0.1545860988
211	0.1544838974
212	0.1543865857
213	0.1543129191
214	0.1542324431
215	0.1541792327
216	0.1541321919
217	0.1540155606
218	0.153929766
219	0.1538635486
220	0.1537896804
221	0.1535162591
222	0.1534435238
223	0.1533752771
224	0.1532988428
225	0.1532419766
226	0.1531168903
227	0.153048901
228	0.1529846629
229	0.1528663128
230	0.1527542299
231	0.1526960474
232	0.1526015259
233	0.1523377229
234	0.1522873065
235	0.1521912345
236	0.1521496332
237	0.1520097046
238	0.1519194626
239	0.1518455283
240	0.1518131847
241	0.1515600363
242	0.1514930161
243	0.1514367227
244	0.151350119
245	0.1513008083
246	0.1512554844
247	0.151197243
248	0.1511543997
249	0.1511143323
250	0.1508538327
251	0.1507969189
252	0.1507285401
253	0.1506746271
254	0.1506078633
255	0.1505418845
256	0.1503359813
257	0.1502649329
258	0.1502203939
259	0.1501672879
260	0.1500689642
261	0.1500365683
262	0.1499834956
263	0.1499009415
264	0.1498684056
265	0.1498136486
266	0.1497469089
267	0.1496851336
268	0.1494809868
269	0.1494349086
270	0.1493838081
271	0.1493179812
272	0.1492641219
273	0.1492201604
274	0.1491960411
275	0.1491805072
276	0.149135043
277	0.1491184926
278	0.1490701619
279	0.1490299456
280	0.1489977721
281	0.1489459625
282	0.1488392375
283	0.1487905823
284	0.1487299715
285	0.1486729593
286	0.1486001583
287	0.1485669521
288	0.1485259324
289	0.1484931794
290	0.1484635697
291	0.1484363654
292	0.1482888457
293	0.1482703301
294	0.1482445103
295	0.1481963686
296	0.1481697213
297	0.1481157052
298	0.1480653861
299	0.1479967447
