iter	Passed	Remaining
0	336	100579
1	507	75676
2	671	66520
3	851	62981
4	1020	60204
5	1190	58352
6	1350	56508
7	1513	55236
8	1676	54201
9	1839	53354
10	2003	52649
11	2164	51952
12	2329	51438
13	2491	50892
14	2654	50431
15	2808	49859
16	2972	49480
17	3138	49163
18	3298	48789
19	3453	48348
20	3604	47890
21	3771	47656
22	3928	47310
23	4094	47090
24	4259	46859
25	4422	46607
26	4563	46142
27	4729	45945
28	4885	45649
29	5041	45377
30	5199	45118
31	5354	44841
32	5527	44722
33	5690	44519
34	5846	44264
35	5994	43961
36	6147	43694
37	6298	43428
38	6454	43193
39	6625	43068
40	6780	42833
41	6923	42532
42	7064	42221
43	7225	42036
44	7379	41815
45	7531	41584
46	7682	41354
47	7847	41197
48	7995	40957
49	8159	40798
50	8303	40541
51	8471	40403
52	8619	40168
53	8772	39964
54	8946	39852
55	9103	39664
56	9266	39505
57	9424	39324
58	9565	39071
59	9710	38843
60	9847	38581
61	10004	38404
62	10163	38233
63	10318	38048
64	10476	37878
65	10627	37680
66	10769	37451
67	10924	37272
68	11076	37081
69	11245	36950
70	11406	36790
71	11548	36570
72	11708	36409
73	11850	36191
74	11992	35978
75	12152	35818
76	12298	35616
77	12469	35491
78	12613	35284
79	12775	35133
80	12937	34979
81	13075	34762
82	13203	34520
83	13339	34302
84	13477	34090
85	13636	33931
86	13799	33784
87	13938	33578
88	14072	33363
89	14218	33175
90	14358	32976
91	14503	32790
92	14654	32617
93	14804	32443
94	14975	32316
95	15138	32169
96	15273	31964
97	15406	31755
98	15571	31615
99	15709	31419
100	15862	31253
101	16030	31118
102	16197	30978
103	16336	30787
104	16506	30655
105	16654	30480
106	16796	30295
107	16942	30120
108	17081	29932
109	17218	29741
110	17382	29597
111	17553	29464
112	17715	29316
113	17860	29140
114	18000	28957
115	18137	28769
116	18266	28570
117	18411	28397
118	18569	28243
119	18700	28050
120	18836	27866
121	19001	27723
122	19151	27559
123	19320	27422
124	19466	27252
125	19634	27114
126	19771	26932
127	19938	26791
128	20086	26626
129	20228	26452
130	20379	26291
131	20500	26092
132	20664	25947
133	20825	25798
134	20988	25652
135	21134	25486
136	21291	25332
137	21429	25156
138	21577	24992
139	21710	24812
140	21862	24653
141	21996	24475
142	22147	24316
143	22289	24146
144	22441	23989
145	22601	23839
146	22730	23658
147	22862	23480
148	23008	23317
149	23195	23195
150	23363	23054
151	23542	22922
152	23702	22772
153	23843	22605
154	23997	22449
155	24157	22298
156	24299	22132
157	24458	21981
158	24583	21800
159	24724	21634
160	24867	21469
161	25054	21343
162	25228	21204
163	25400	21063
164	25646	20983
165	25825	20847
166	25992	20700
167	26156	20551
168	26317	20399
169	26473	20244
170	26664	20115
171	26843	19976
172	27000	19821
173	27174	19678
174	27316	19511
175	27484	19363
176	27657	19219
177	27822	19069
178	27993	18922
179	28157	18771
180	28304	18608
181	28467	18456
182	28607	18290
183	28760	18131
184	28921	17978
185	29125	17850
186	29298	17704
187	29462	17551
188	29642	17408
189	29776	17238
190	29946	17089
191	30111	16937
192	30290	16792
193	30459	16642
194	30576	16464
195	30729	16305
196	30888	16149
197	31025	15982
198	31188	15829
199	31308	15654
200	31463	15497
201	31647	15353
202	31805	15197
203	31992	15055
204	32163	14905
205	32364	14768
206	32545	14621
207	32755	14487
208	32916	14331
209	33062	14169
210	33231	14017
211	33400	13864
212	33557	13706
213	33688	13538
214	33850	13382
215	33976	13213
216	34093	13040
217	34243	12880
218	34413	12728
219	34549	12563
220	34693	12401
221	34858	12247
222	35021	12092
223	35196	11941
224	35353	11784
225	35497	11623
226	35658	11467
227	35792	11302
228	35970	11152
229	36129	10995
230	36341	10855
231	36518	10703
232	36683	10548
233	36861	10396
234	37032	10243
235	37182	10083
236	37306	9916
237	37494	9767
238	37642	9607
239	37773	9443
240	37920	9283
241	38088	9128
242	38259	8974
243	38430	8820
244	38630	8672
245	38803	8517
246	38941	8355
247	39101	8198
248	39243	8037
249	39386	7877
250	39546	7720
251	39723	7566
252	39879	7408
253	40004	7244
254	40189	7092
255	40380	6940
256	40536	6782
257	40700	6625
258	40936	6480
259	41102	6323
260	41257	6164
261	41382	6002
262	41549	5845
263	41705	5687
264	41830	5524
265	42035	5372
266	42197	5215
267	42340	5055
268	42504	4898
269	42645	4738
270	42767	4576
271	42918	4418
272	43072	4259
273	43221	4101
274	43365	3942
275	43493	3782
276	43643	3623
277	43747	3462
278	43863	3301
279	43983	3141
280	44158	2985
281	44312	2828
282	44502	2673
283	44685	2517
284	44840	2360
285	45022	2203
286	45187	2046
287	45322	1888
288	45500	1731
289	45668	1574
290	45834	1417
291	45977	1259
292	46127	1102
293	46239	943
294	46364	785
295	46504	628
296	46635	471
297	46799	314
298	46954	157
299	47127	0
